perturbation,line,state,EN_mean,EN_lo,EN_hi,argmin_mean,argmin_lo,argmin_hi,rstar_mean,rstar_lo,rstar_hi,splithalf_rho_EN,splithalf_rho_argmin,occ_entropy,state_div,cell_disp,effect_size,n_de,n_cells
ACTR6,k562,G1,7.3215,7.2217,7.4702,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.906,0.00079,0.12556,2.3794,123,104
ACTR6,k562,S,7.3703,7.1703,7.6175,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.906,0.00079,0.12556,2.3794,123,104
ACTR6,k562,G2M,7.3162,7.1721,7.4138,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.906,0.00079,0.12556,2.3794,123,104
ACTR8,k562,G1,6.2021,5.7812,6.6299,5.667,2.75,6.0,5.6,2.4,6.0,0.9692,0.8496,0.865,0.0036,0.14842,2.2724,117,242
ACTR8,k562,S,5.9457,5.3998,6.3877,6.0,6.0,6.0,6.0,6.0,6.0,0.9481,0.831,0.865,0.0036,0.14842,2.2724,117,242
ACTR8,k562,G2M,6.1312,5.391,6.5284,5.933,5.35,6.0,5.933,5.35,6.0,0.9554,0.8305,0.865,0.0036,0.14842,2.2724,117,242
ADAT2,k562,G1,6.9034,6.8284,6.9608,7.067,7.0,7.65,7.0,7.0,7.0,0.9692,0.8496,0.9497,0.00362,0.13115,1.8404,45,84
ADAT2,k562,S,6.8642,6.6838,6.9377,7.0,7.0,7.0,7.0,7.0,7.0,0.9481,0.831,0.9497,0.00362,0.13115,1.8404,45,84
ADAT2,k562,G2M,6.8652,6.6107,6.9592,7.0,7.0,7.0,7.0,7.0,7.0,0.9554,0.8305,0.9497,0.00362,0.13115,1.8404,45,84
ADSL,k562,G1,6.3168,6.0992,6.4989,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.8917,0.00031,0.1288,1.9623,64,100
ADSL,k562,S,6.4014,6.2585,6.5203,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.8917,0.00031,0.1288,1.9623,64,100
ADSL,k562,G2M,6.3468,6.2077,6.4819,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.8917,0.00031,0.1288,1.9623,64,100
AHCY,k562,G1,5.9296,5.604,6.1389,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.8121,0.00174,0.12678,1.9766,73,142
AHCY,k562,S,5.9118,5.5444,6.1923,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.8121,0.00174,0.12678,1.9766,73,142
AHCY,k562,G2M,5.9824,5.6287,6.3305,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.8121,0.00174,0.12678,1.9766,73,142
AKIRIN2,k562,G1,5.1436,4.619,5.8527,7.0,7.0,7.0,7.0,7.0,7.0,0.9692,0.8496,0.9743,0.00752,0.14924,2.0085,86,144
AKIRIN2,k562,S,5.1706,4.4537,5.8386,7.0,7.0,7.0,7.0,7.0,7.0,0.9481,0.831,0.9743,0.00752,0.14924,2.0085,86,144
AKIRIN2,k562,G2M,5.4838,5.0697,5.9225,7.0,7.0,7.0,7.0,7.0,7.0,0.9554,0.8305,0.9743,0.00752,0.14924,2.0085,86,144
ALDOA,k562,G1,3.5202,3.263,4.1077,1.667,1.0,6.0,1.667,1.0,6.0,0.9692,0.8496,1.0695,0.03183,0.16072,4.0771,354,77
ALDOA,k562,S,3.6203,3.2109,4.5382,1.0,1.0,1.0,1.0,1.0,1.0,0.9481,0.831,1.0695,0.03183,0.16072,4.0771,354,77
ALDOA,k562,G2M,3.6774,3.203,4.6026,1.333,1.0,4.25,1.333,1.0,4.25,0.9554,0.8305,1.0695,0.03183,0.16072,4.0771,354,77
ALG1,k562,G1,5.5302,5.0128,5.7264,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.749,0.00761,0.1211,1.9411,64,67
ALG1,k562,S,5.6266,5.4941,5.757,7.733,6.0,8.0,7.733,6.0,8.0,0.9481,0.831,0.749,0.00761,0.1211,1.9411,64,67
ALG1,k562,G2M,5.6224,5.2143,5.7581,7.6,6.0,8.0,7.6,6.0,8.0,0.9554,0.8305,0.749,0.00761,0.1211,1.9411,64,67
ALG13,k562,G1,6.2724,5.963,6.491,5.933,5.0,7.0,5.533,5.0,7.0,0.9692,0.8496,0.9041,0.00137,0.13684,1.6735,45,167
