rank,candidate,nearest_approved_anchor,anchor_target_class,anchor_pathway,anchor_moa,anchor_drugs,anchor_specificity,anchor_specificity_note,nearest_anchor_any,nearest_anchor_status,resp_cos_to_anchor_any,resp_cos_to_approved,string_adjacent_to_anchor,string_score_to_approved_anchor,string_max_to_any_anchor,string_best_anchor,shared_cluster_with_anchor,cluster,n_approved_in_cluster,n_anchors_in_cluster,EN,halt_confidence,effect_size,n_de,oracle_rstar,argmin_depth,is_val,anchor_EN,dEN_to_anchor,act_consistent_with_anchor,user_pharos_tdl,tc_2level,pathway_primary,target_class,user_tractability_modality,user_nearest_string_neighbors,user_function,user_annotation_present,depmap_geneEffect_k562,depmap_essential_k562,depmap_depleting_k562,k562_essential_toxflag,gnomad_pli,gnomad_loeuf,lof_constraint_flag,lof_tolerant,ot_safety_liabilities,n_safety_events,low_ot_liability,fda_boxed_warning_flag,fda_boxed,safety_flag_v2,user_immune_disease_assoc,user_depmap_essentiality,safety_pass,z_resp,z_string,proximity_score,safety_bonus,act_bonus,composite_score,composite_score_v2,rationale
36,TBL3,RPS12,Other cytosolic protein,Metabolism of proteins,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,ATALUREN,complex_level,"ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically",RPS12,approved_target,0.7373,0.7373,True,0.94,0.992,RPS23,True,5,12,12,4.581,0.1419,3.6768,271,3.0,3.0,0,2.086,2.495,False,Tdark,,Metabolism of RNA,Unclassified protein,PROTAC_degrader; small_molecule,IMP4(0.999); KRR1(0.999); MPHOSPH10(0.999); NAT10(0.999); NOP58(0.999),"The protein encoded by this gene has sequence similarity with members of the WD40 repeat-containing protein family. The WD40 group is a large family of proteins, which appear to have a regulatory function. It is believed that the WD40 repeats mediate protein-protein interactions and members of the family are involved in signal transduction, RNA processing, gene regulation, vesicular trafficking, cytoskeletal assembly and may play a role in the control of cytotypic differentiation. This gene has multiple polyadenylation sites. It might have multiple alternatively spliced transcript variants but the variants have not been fully described yet. [provided by RefSeq, Jul 2008].",True,-0.7688,False,True,False,0.0,0.885,tolerant,True,NOT_FOUND,0,True,False,False,rpe1-essential(DepMap -1.4),Huntington disease(0.011); cancer(0.004); neoplasm(0.004); infection(0.004); bronchopulmonary dysplasia(0.004),see per-line columns,True,0.7603,0.9409,0.8504,1.0,0.0,0.8453,0.6424,"Undrugged (Pharos Tdark); response cosine 0.74; STRING-adjacent (score 0.94); same Leiden cluster (cl5, 12 approved targets) to approved target RPS12 | → HYPOTHESIS: same class as RPS12 (Other cytosolic protein; drug: ATALUREN) | CAVEAT: complex_level anchor — ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically | K562 DepMap geneEffect -0.77 (not strongly essential) | immune/disease: Huntington disease(0.011); cancer(0.004); neoplasm(0.004); i | ACT E[N]=4.58 (|Δ|=2.50 vs anchor; ACT axis redundant to response+effect_size)"
37,RRP9,RPS27,Other cytosolic protein,Metabolism of proteins,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,ATALUREN,complex_level,"ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically",RPS27,approved_target,0.5921,0.5921,True,0.97,0.995,RPS13,True,5,12,12,4.81,0.1099,2.8607,169,4.25,5.0,0,4.577,0.233,True,Tbio,,Metabolism of RNA,NOT_FOUND,PROTAC_degrader; small_molecule,UTP6(0.999); DCAF13(0.999); NOP56(0.999); WDR75(0.999); UTP15(0.999),Component of a nucleolar small nuclear ribonucleoprotein particle (snoRNP) thought to participate in the processing and modification of pre-ribosomal RNA (pre-rRNA) .,True,-0.5499,False,True,False,0.0,0.701,tolerant,True,NOT_FOUND,0,True,False,False,rpe1-essential(DepMap -1.3),acute myeloid leukemia(0.075),common_essential; mean_geneEffect=-0.816,True,0.6055,0.971,0.7743,1.0,1.0,0.842,0.6399,"Undrugged (Pharos Tbio); response cosine 0.59; STRING-adjacent (score 0.97); same Leiden cluster (cl5, 12 approved targets) to approved target RPS27 | → HYPOTHESIS: same class as RPS27 (Other cytosolic protein; drug: ATALUREN) | CAVEAT: complex_level anchor — ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically | K562 DepMap geneEffect -0.55 (not strongly essential) | immune/disease: acute myeloid leukemia(0.075) | ACT E[N]=4.81 (|Δ|=0.23 vs anchor; ACT axis redundant to response+effect_size)"
38,UQCRC2,NDUFB4,,Metabolism,Mitochondrial complex I (NADH dehydrogenase) inhibitor,METFORMIN; METFORMIN HYDROCHLORIDE,specific,,NDUFB4,approved_target,0.4527,0.4527,True,0.951,0.998,NDUFB8,True,0,11,12,5.243,0.237,2.5829,163,2.5,2.5,0,4.135,1.108,False,Tbio,,Metabolism,Unclassified protein,PROTAC_degrader; antibody; small_molecule,UQCRFS1(0.999); COX5B(0.999); CYC1(0.999); COX4I1(0.999); MT-CO2(0.999),"Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation.",True,-1.0957,True,False,True,0.0,1.118,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -1.1),acute myeloid leukemia(0.055),common_essential; mean_geneEffect=-0.648,False,0.457,0.952,0.6869,0.6,0.0,0.6308,0.6308,"Undrugged (Pharos Tbio); response cosine 0.45; STRING-adjacent (score 0.95); same Leiden cluster (cl0, 11 approved targets) to approved target NDUFB4 | → HYPOTHESIS: same class as NDUFB4 (unclassified; drug: METFORMIN; METFORMIN HYDROCHLORIDE) | ⚠ K562-essential (DepMap geneEffect -1.10 < -1.0): likely toxic to inhibit in this line | immune/disease: acute myeloid leukemia(0.055) | ACT E[N]=5.24 (|Δ|=1.11 vs anchor; ACT axis redundant to response+effect_size)"
39,KRR1,RPS12,Other cytosolic protein,Metabolism of proteins,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,ATALUREN,complex_level,"ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically",RPS12,approved_target,0.9274,0.9274,True,0.962,0.997,RPS5,True,5,12,12,4.869,0.0959,4.0181,285,3.0,3.0,0,2.086,2.783,False,Tbio,,Metabolism of RNA,NOT_FOUND,PROTAC_degrader; small_molecule,TBL3(0.999); WDR36(0.999); PDCD11(0.999); BMS1(0.999); UTP11(0.999),"Part of the small subunit (SSU) processome, first precursor of the small eukaryotic ribosomal subunit.",True,-1.3899,True,False,True,0.0092,0.736,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -1.4); rpe1-essential(DepMap -1.2),NOT_FOUND,common_essential; mean_geneEffect=-1.13,False,0.9629,0.963,0.9685,0.6,0.0,0.828,0.6292,"Undrugged (Pharos Tbio); response cosine 0.93; STRING-adjacent (score 0.96); same Leiden cluster (cl5, 12 approved targets) to approved target RPS12 | → HYPOTHESIS: same class as RPS12 (Other cytosolic protein; drug: ATALUREN) | CAVEAT: complex_level anchor — ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically | ⚠ K562-essential (DepMap geneEffect -1.39 < -1.0): likely toxic to inhibit in this line | ACT E[N]=4.87 (|Δ|=2.78 vs anchor; ACT axis redundant to response+effect_size)"
40,SLC1A5,MTOR,Enzyme; Kinase,Autophagy,Serine/threonine-protein kinase mTOR inhibitor,PERHEXILINE; RIDAFOROLIMUS,specific,,MTOR,approved_target,0.2419,0.2419,True,0.634,0.634,MTOR,True,1,6,15,4.969,0.0665,1.0131,2,4.5,4.5,0,4.71,0.259,True,Tbio,Transporter; Electrochemical transporter,Signal Transduction,Transporter; Electrochemical transporter; SLC superfamily of solute carriers; SLC06 neurotransmitter transporter family,PROTAC_degrader; antibody; small_molecule,ERVW-1(0.989); SLC6A14(0.944); SLC3A2(0.894); SLC7A5(0.885); SLC6A5(0.881),Sodium-coupled antiporter of neutral amino acids.,True,-0.2236,False,False,False,0.0,1.076,tolerant,True,NOT_FOUND,0,True,False,False,no strong safety flag,autoimmune disorder of central nervous system(0.213),not_common_essential; mean_geneEffect=-0.26,True,0.2323,0.6346,0.4681,1.0,1.0,0.6277,0.6277,"Undrugged (Pharos Tbio); STRING-adjacent (score 0.63); same Leiden cluster (cl1, 6 approved targets) to approved target MTOR | → HYPOTHESIS: same class as MTOR (Enzyme; Kinase; drug: PERHEXILINE; RIDAFOROLIMUS) | K562 DepMap geneEffect -0.22 (not strongly essential) | immune/disease: autoimmune disorder of central nervous system(0.213) | ACT E[N]=4.97 (|Δ|=0.26 vs anchor; ACT axis redundant to response+effect_size)"
41,BRIP1,SEM1,,Cell Cycle,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,specific,,SEM1,approved_target,0.2576,0.2576,True,0.597,0.8,POLD1,True,1,6,15,5.316,0.2245,1.6056,25,5.0,5.25,0,5.654,0.338,True,Tbio,,Cell Cycle,NOT_FOUND,PROTAC_degrader,BRCA1(0.999); MLH1(0.999); BARD1(0.999); TOPBP1(0.999); BRCA2(0.998),DNA-dependent ATPase and 5'-3' DNA helicase required for the maintenance of chromosomal stability .,True,-0.4624,False,False,False,0.0,0.848,tolerant,True,NOT_FOUND,0,True,False,False,no strong safety flag,Fanconi anemia complementation group J(0.837); Fanconi anemia(0.774),not_common_essential; mean_geneEffect=-0.315,True,0.249,0.5976,0.4662,1.0,1.0,0.6264,0.6264,"Undrugged (Pharos Tbio); STRING-adjacent (score 0.60); same Leiden cluster (cl1, 6 approved targets) to approved target SEM1 | → HYPOTHESIS: same class as SEM1 (unclassified; drug: BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFI) | K562 DepMap geneEffect -0.46 (not strongly essential) | immune/disease: Fanconi anemia complementation group J(0.837); Fanconi anemi | ACT E[N]=5.32 (|Δ|=0.34 vs anchor; ACT axis redundant to response+effect_size)"
42,IMP4,RPS12,Other cytosolic protein,Metabolism of proteins,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,ATALUREN,complex_level,"ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically",RPS12,approved_target,0.9277,0.9277,True,0.922,0.992,RPS23,True,5,12,12,4.719,0.1309,4.7239,409,3.0,3.0,0,2.086,2.633,False,Tdark,,Metabolism of RNA,NOT_FOUND,PROTAC_degrader; small_molecule,BMS1(0.999); BYSL(0.999); IMP3(0.999); MPHOSPH10(0.999); NOC4L(0.999),"The protein encoded by this gene, along with IMP3 and MPP10, is part of the 60-80S U3 small nucleolar ribonucleoprotein (U3 snoRNP) complex. This complex is necessary for the early cleavage steps of pre-18S ribosomal RNA processing. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2016].",True,-1.5237,True,False,True,0.0,1.064,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -1.5); rpe1-essential(DepMap -1.2),tooth disorder(0.053); neoplasm(0.041); Alzheimer disease(0.025); lung carcinoma(0.024); lung cancer(0.017),see per-line columns,False,0.9632,0.9229,0.9566,0.6,0.0,0.8197,0.6229,"Undrugged (Pharos Tdark); response cosine 0.93; STRING-adjacent (score 0.92); same Leiden cluster (cl5, 12 approved targets) to approved target RPS12 | → HYPOTHESIS: same class as RPS12 (Other cytosolic protein; drug: ATALUREN) | CAVEAT: complex_level anchor — ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically | ⚠ K562-essential (DepMap geneEffect -1.52 < -1.0): likely toxic to inhibit in this line | immune/disease: tooth disorder(0.053); neoplasm(0.041); Alzheimer disease(0. | ACT E[N]=4.72 (|Δ|=2.63 vs anchor; ACT axis redundant to response+effect_size)"
43,MCM5,POLE,,DNA Repair,DNA polymerase (alpha/delta/epsilon) inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,POLE,approved_target,0.3964,0.3964,True,0.997,0.999,CDC7,True,7,8,13,3.212,0.3007,2.3713,129,2.75,5.0,0,4.782,1.57,False,Tbio,Enzyme; Hydrolase,DNA Replication,Enzyme; Hydrolase,PROTAC_degrader; small_molecule,CDC6(0.999); CDT1(0.999); GINS1(0.999); GINS2(0.999); GINS4(0.999),"The protein encoded by this gene is structurally very similar to the CDC46 protein from S. cerevisiae, a protein involved in the initiation of DNA replication. The encoded protein is a member of the MCM family of chromatin-binding proteins and can interact with at least two other members of this family. The encoded protein is upregulated in the transition from the G0 to G1/S phase of the cell cycle and may actively participate in cell cycle regulation. [provided by RefSeq, Jul 2008].",True,-2.136,True,False,True,0.0,0.753,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -2.1); rpe1-essential(DepMap -1.7),Ear-patella-short stature syndrome(0.563); neurodegenerative disease(0.397); lysosomal storage disease(0.362); kidney transplant(0.236); lung cancer(0.085),see per-line columns,False,0.397,0.998,0.6677,0.6,0.0,0.6174,0.6174,"Undrugged (Pharos Tbio); response cosine 0.40; STRING-adjacent (score 1.00); same Leiden cluster (cl7, 8 approved targets) to approved target POLE | → HYPOTHESIS: same class as POLE (unclassified; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | ⚠ K562-essential (DepMap geneEffect -2.14 < -1.0): likely toxic to inhibit in this line | immune/disease: Ear-patella-short stature syndrome(0.563); neurodegenerative | ACT E[N]=3.21 (|Δ|=1.57 vs anchor; ACT axis redundant to response+effect_size)"
44,MCM3AP,SEM1,,Cell Cycle,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,specific,,SEM1,approved_target,0.4106,0.4106,True,0.968,0.968,SEM1,True,1,6,15,4.63,0.427,2.882,194,1.0,1.0,0,5.654,1.024,False,Tbio,,,NOT_FOUND,PROTAC_degrader,CETN3(0.999); ENY2(0.999); PCID2(0.999); CETN2(0.998); MCM3(0.988),"The minichromosome maintenance protein 3 (MCM3) is one of the MCM proteins essential for the initiation of DNA replication. The protein encoded by this gene is a MCM3 binding protein. It was reported to have phosphorylation-dependent DNA-primase activity, which was up-regulated in antigen immunization induced germinal center. This protein was demonstrated to be an acetyltransferase that acetylates MCM3 and plays a role in DNA replication. The mutagenesis of a nuclear localization signal of MCM3 affects the binding of this protein with MCM3, suggesting that this protein may also facilitate MCM3 nuclear localization. This gene is expressed in the brain or in neuronal tissue. An allelic variant encoding amino acid Lys at 915, instead of conserved Glu, has been identified in patients with mild intellectual disability. [provided by RefSeq, Jan 2014].",True,-1.6754,True,False,True,0.0,0.769,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -1.7); rpe1-essential(DepMap -1.0),"peripheral neuropathy, autosomal recessive, with or without impaired intellectual development(0.791); hereditary disease(0.505); autism spectrum disorder(0.333); neurodegenerative disease(0.259); mental disorder(0.236)",see per-line columns,False,0.4121,0.969,0.6673,0.6,0.0,0.6171,0.6171,"Undrugged (Pharos Tbio); response cosine 0.41; STRING-adjacent (score 0.97); same Leiden cluster (cl1, 6 approved targets) to approved target SEM1 | → HYPOTHESIS: same class as SEM1 (unclassified; drug: BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFI) | ⚠ K562-essential (DepMap geneEffect -1.68 < -1.0): likely toxic to inhibit in this line | immune/disease: peripheral neuropathy, autosomal recessive, with or without  | ACT E[N]=4.63 (|Δ|=1.02 vs anchor; ACT axis redundant to response+effect_size)"
45,MCM7,POLD1,Enzyme; Transferase,DNA Repair,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,POLD1,approved_target,0.3435,0.3435,True,0.833,0.999,CDC7,True,7,8,13,4.527,0.0968,1.8876,43,4.75,4.75,0,5.041,0.514,True,Tbio,Enzyme; Hydrolase,DNA Replication,Enzyme; Hydrolase,PROTAC_degrader; small_molecule,CDC6(0.999); GINS1(0.999); GINS2(0.999); GINS4(0.999); MCM2(0.999),"The protein encoded by this gene is one of the highly conserved mini-chromosome maintenance proteins (MCM) that are essential for the initiation of eukaryotic genome replication. The hexameric protein complex formed by the MCM proteins is a key component of the pre-replication complex (pre_RC) and may be involved in the formation of replication forks and in the recruitment of other DNA replication related proteins. The MCM complex consisting of this protein and MCM2, 4 and 6 proteins possesses DNA helicase activity, and may act as a DNA unwinding enzyme. Cyclin D1-dependent kinase, CDK4, is found to associate with this protein, and may regulate the binding of this protein with the tumorsuppressor protein RB1/RB. Alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Jul 2008].",True,-2.0236,True,False,True,0.0,1.305,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -2.0); rpe1-essential(DepMap -2.0),Spastic paraplegia(0.532); Meier-Gorlin syndrome(0.531); Severe intellectual disability and progressive spastic paraplegia(0.529); microcephaly(0.473); Progeroid facial appearance(0.425),see per-line columns,False,0.3406,0.8338,0.5875,0.6,1.0,0.6112,0.6112,"Undrugged (Pharos Tbio); response cosine 0.34; STRING-adjacent (score 0.83); same Leiden cluster (cl7, 8 approved targets) to approved target POLD1 | → HYPOTHESIS: same class as POLD1 (Enzyme; Transferase; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | ⚠ K562-essential (DepMap geneEffect -2.02 < -1.0): likely toxic to inhibit in this line | immune/disease: Spastic paraplegia(0.532); Meier-Gorlin syndrome(0.531); Sev | ACT E[N]=4.53 (|Δ|=0.51 vs anchor; ACT axis redundant to response+effect_size)"
46,MCM6,POLD1,Enzyme; Transferase,DNA Repair,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,CLOFARABINE; CYTARABINE; FLUDARABINE PHOSPHATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE,specific,,POLD1,approved_target,0.4534,0.4534,True,0.84,0.999,CDC7,True,7,8,13,2.692,0.4734,2.3847,108,2.0,5.0,0,5.041,2.349,False,Tbio,Enzyme; Hydrolase,DNA Replication,Enzyme; Hydrolase,PROTAC_degrader; small_molecule,CDC45(0.999); CDC6(0.999); CDC7(0.999); CDT1(0.999); GINS3(0.999),"The protein encoded by this gene is one of the highly conserved mini-chromosome maintenance proteins (MCM) that are essential for the initiation of eukaryotic genome replication. The hexameric protein complex formed by the MCM proteins is a key component of the pre-replication complex (pre_RC) and may be involved in the formation of replication forks and in the recruitment of other DNA replication related proteins. The MCM complex consisting of this protein and MCM2, 4 and 7 proteins possesses DNA helicase activity, and may act as a DNA unwinding enzyme. The phosphorylation of the complex by CDC2 kinase reduces the helicase activity, suggesting a role in the regulation of DNA replication. Single nucleotide polymorphisms in the intron regions of this gene are associated with differential transcriptional activation of the promoter of the neighboring lactase gene and, thereby, influence lactose intolerance in early adulthood. [provided by RefSeq, May 2012].",True,-1.0353,True,False,True,0.0,0.676,tolerant,True,NOT_FOUND,0,True,False,False,k562-essential(DepMap -1.0),lactose intolerance(0.289); neurodegenerative disease(0.225); muscle strain(0.22); sprain(0.22); systemic lupus erythematosus(0.196),see per-line columns,False,0.4577,0.8408,0.654,0.6,0.0,0.6078,0.6078,"Undrugged (Pharos Tbio); response cosine 0.45; STRING-adjacent (score 0.84); same Leiden cluster (cl7, 8 approved targets) to approved target POLD1 | → HYPOTHESIS: same class as POLD1 (Enzyme; Transferase; drug: CLOFARABINE; CYTARABINE; FLUDARABINE PHO) | ⚠ K562-essential (DepMap geneEffect -1.04 < -1.0): likely toxic to inhibit in this line | immune/disease: lactose intolerance(0.289); neurodegenerative disease(0.225) | ACT E[N]=2.69 (|Δ|=2.35 vs anchor; ACT axis redundant to response+effect_size)"
47,AKIRIN2,PSMB2,Enzyme; Protease,Signal Transduction,20S proteasome inhibitor; 26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,specific,,PSMB2,approved_target,0.3478,0.3478,True,0.922,0.922,PSMB2,True,1,6,15,4.679,0.1766,2.0085,86,7.0,7.0,0,3.568,1.111,False,Tbio,,,NOT_FOUND,PROTAC_degrader,PSMA5(0.957); PSMA2(0.932); PSMA1(0.929); NFKBIZ(0.928); PSMA6(0.927),"Molecular adapter that acts as a bridge between a variety of multiprotein complexes, and which is involved in embryonic development, immunity, myogenesis and brain development .",True,-0.4296,False,False,False,0.9919,0.459,constrained,False,NOT_FOUND,0,True,False,False,rpe1-essential(DepMap -1.3); LoF-constrained,asthma(0.047),common_essential; mean_geneEffect=-0.974,False,0.3452,0.9229,0.6167,0.7,0.0,0.6067,0.6067,"Undrugged (Pharos Tbio); response cosine 0.35; STRING-adjacent (score 0.92); same Leiden cluster (cl1, 6 approved targets) to approved target PSMB2 | → HYPOTHESIS: same class as PSMB2 (Enzyme; Protease; drug: BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFI) | K562 DepMap geneEffect -0.43 (not strongly essential) | immune/disease: asthma(0.047) | ACT E[N]=4.68 (|Δ|=1.11 vs anchor; ACT axis redundant to response+effect_size)"
48,NOC3L,RPL26,Other cytosolic protein,Metabolism of proteins,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,ATALUREN,complex_level,"ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically",RPL26,approved_target,0.6975,0.6975,True,0.791,0.908,RPL14,True,4,16,17,4.899,0.3085,3.4441,251,2.0,3.25,0,2.018,2.881,False,Tbio,,,NOT_FOUND,PROTAC_degrader; small_molecule,NOC2L(0.998); BRIX1(0.997); MAK16(0.997); BOP1(0.996); NIFK(0.995),"Enables RNA binding activity. Predicted to be involved in DNA replication initiation. Predicted to act upstream of or within fat cell differentiation. Located in mitochondrion; nucleolus; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",True,-0.5531,False,True,False,0.0,1.08,tolerant,True,NOT_FOUND,0,True,False,False,rpe1-essential(DepMap -1.0),hypertensive disorder(0.516); aortic aneurysm(0.448); diabetes mellitus(0.413); abdominal aortic aneurysm(0.409); aneurysm(0.403),see per-line columns,True,0.7179,0.7918,0.7824,1.0,0.0,0.7977,0.6062,"Undrugged (Pharos Tbio); response cosine 0.70; STRING-adjacent (score 0.79); same Leiden cluster (cl4, 16 approved targets) to approved target RPL26 | → HYPOTHESIS: same class as RPL26 (Other cytosolic protein; drug: ATALUREN) | CAVEAT: complex_level anchor — ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically | K562 DepMap geneEffect -0.55 (not strongly essential) | immune/disease: hypertensive disorder(0.516); aortic aneurysm(0.448); diabet | ACT E[N]=4.90 (|Δ|=2.88 vs anchor; ACT axis redundant to response+effect_size)"
49,BRIX1,RPL23,Other cytosolic protein,Metabolism of proteins,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,ATALUREN,complex_level,"ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically",TTK,clinical_target,0.6526,0.634,True,0.908,0.923,RPL30,True,4,16,17,3.184,0.2646,3.7282,321,1.0,1.0,0,1.368,1.816,False,Tbio,,,Unclassified protein,PROTAC_degrader; small_molecule,EBNA1BP2(0.999); NIFK(0.999); NIP7(0.999); GTPBP4(0.998); WDR12(0.998),"Enables RNA binding activity. Predicted to be involved in ribosomal large subunit assembly. Located in chromosome and nucleolus. [provided by Alliance of Genome Resources, Apr 2022]",True,-0.8003,False,True,False,0.7982,0.626,tolerant,True,NOT_FOUND,0,True,False,False,rpe1-essential(DepMap -1.5),colorectal cancer(0.077); cancer(0.077); colorectal carcinoma(0.074); urinary bladder cancer(0.057); urinary bladder carcinoma(0.057),see per-line columns,True,0.6502,0.9089,0.7803,1.0,0.0,0.7962,0.6051,"Undrugged (Pharos Tbio); response cosine 0.63; STRING-adjacent (score 0.91); same Leiden cluster (cl4, 16 approved targets) to approved target RPL23 | → HYPOTHESIS: same class as RPL23 (Other cytosolic protein; drug: ATALUREN) | CAVEAT: complex_level anchor — ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically | K562 DepMap geneEffect -0.80 (not strongly essential) | immune/disease: colorectal cancer(0.077); cancer(0.077); colorectal carcinom | ACT E[N]=3.18 (|Δ|=1.82 vs anchor; ACT axis redundant to response+effect_size)"
50,FBL,RPS11,Other cytosolic protein,Metabolism of proteins,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,ATALUREN,complex_level,"ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically",RPS11,approved_target,0.8942,0.8942,True,0.99,0.994,RPS5,True,5,12,12,2.404,0.5592,5.2902,473,2.0,2.0,0,2.743,0.339,True,Tbio,Enzyme; Transferase,Metabolism of RNA,Enzyme; Transferase,PROTAC_degrader; small_molecule,DKC1(0.999); NOP56(0.999); NOP58(0.999); RRP9(0.999); SNU13(0.999),"This gene product is a component of a nucleolar small nuclear ribonucleoprotein (snRNP) particle thought to participate in the first step in processing preribosomal RNA. It is associated with the U3, U8, and U13 small nuclear RNAs and is located in the dense fibrillar component (DFC) of the nucleolus. The encoded protein contains an N-terminal repetitive domain that is rich in glycine and arginine residues, like fibrillarins in other species. Its central region resembles an RNA-binding domain and contains an RNP consensus sequence. Antisera from approximately 8% of humans with the autoimmune disease scleroderma recognize fibrillarin. [provided by RefSeq, Jul 2008].",True,-1.3067,True,False,True,0.9994,0.409,constrained,False,NOT_FOUND,0,True,False,False,k562-essential(DepMap -1.3); rpe1-essential(DepMap -1.2); LoF-constrained,neurodegenerative disease(0.469); diabetic ketoacidosis(0.26); head injury(0.16); hepatocellular carcinoma(0.111); neoplasm(0.103),see per-line columns,False,0.9275,0.991,0.9574,0.3,1.0,0.7952,0.6044,"Undrugged (Pharos Tbio); response cosine 0.89; STRING-adjacent (score 0.99); same Leiden cluster (cl5, 12 approved targets) to approved target RPS11 | → HYPOTHESIS: same class as RPS11 (Other cytosolic protein; drug: ATALUREN) | CAVEAT: complex_level anchor — ribosomal-protein anchor; ataluren annotated vs 80S ribosome complex, not this protein specifically | ⚠ K562-essential (DepMap geneEffect -1.31 < -1.0): likely toxic to inhibit in this line | immune/disease: neurodegenerative disease(0.469); diabetic ketoacidosis(0.26 | ACT E[N]=2.40 (|Δ|=0.34 vs anchor; ACT axis redundant to response+effect_size)"
