rank,candidate,nearest_anchor,anchor_status,anchor_target_class,anchor_moa,anchor_drugs,response_cosine,string_adjacent,string_score_to_anchor,shared_cluster,cluster,n_anchors_string_adjacent,n_anchors_shared_cluster,fused_proximity,cand_EN,anchor_EN,delta_EN,abs_delta_EN,cand_halt_conf,cand_effect_size,cand_n_de,cand_argmin_depth,cand_oracle_rstar,min_geneEffect,depmap_geneEffect_k562,depmap_essential_k562,depmap_geneEffect_rpe1,depmap_essential_rpe1,user_depmap_essentiality,likely_toxic_to_inhibit,gnomad_pli,gnomad_loeuf,lof_constraint_flag,ot_safety_liabilities,n_safety_events,fda_boxed_warning_flag,safety_flag_v2,passes_safety_filter,user_immune_disease_assoc,user_pharos_tdl,user_tractability_modality,user_annotation_present,user_function,target_class,user_protein_class_family,user_pathway_family,proximity_component,safety_penalty,act_consistency_bonus,composite_score,rationale,act_note
1,DNTTIP2,RPS7,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.9368,True,0.976,True,9,11,9,1.5248,7.761,7.983,-0.222,0.222,0.7968,8.7891,828,8.0,8.0,-0.979,-0.536,False,-0.9787,False,see per-line columns,False,0.0,0.976,tolerant,NOT_FOUND,0,False,no strong safety flag,True,neurodegenerative disease(0.164); Tinnitus(0.111); alcohol drinking(0.099); Aphasia(0.089); narcolepsy(0.089),Tdark,PROTAC_degrader; small_molecule,True,"This gene is thought to be involved in chromatin remodeling and gene transcription. The encoded nuclear protein binds to and enhances the transcriptional activity of the estrogen receptor alpha, and also interacts with terminal deoxynucleotidyltransferase. The expression profile of this gene is a potential biomarker for chronic obstructive pulmonary disease. [provided by RefSeq, Dec 2010].",NOT_FOUND,Fcf2/DNTTIP2,NOT_FOUND,1.4296,0.0,0.0475,1.4771,Undrugged; transcriptionally similar (cos=0.94); STRING-adjacent (score=0.98); same cluster 9 to approved/clinical target RPS7 [Other cytosolic protein] → hypothesis: same target class as RPS7. Not strongly essential in-line (min geneEffect=-0.98).,E[N]=7.76 vs anchor 7.98 (|Δ|=0.22); halt_conf=0.80. ACT axis redundant for target-class call in this line.
2,LSG1,RPL26,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8664,True,0.896,True,3,24,8,1.4144,7.905,7.991,-0.086,0.086,0.9271,7.4081,642,8.0,8.0,-1.0,-0.76,False,-0.9999,False,see per-line columns,False,0.0,0.843,tolerant,NOT_FOUND,0,False,no strong safety flag,True,neurodegenerative disease(0.503); arthropathy(0.195); placenta praevia(0.058); urethral syndrome(0.058); nonpapillary renal cell carcinoma(0.053),Tbio,PROTAC_degrader,True,"This gene encodes a protein related to the yeast large subunit GTPase 1. The encoded protein is necessary for cell viability and may localize in the endoplasmic reticulum, nucleus and cytoplasm.[provided by RefSeq, Feb 2009].",Enzyme; Hydrolase,Ras GTPase GNL1-like,NOT_FOUND,1.3352,0.0,0.049,1.3842,Undrugged; transcriptionally similar (cos=0.87); STRING-adjacent (score=0.90); same cluster 3 to approved/clinical target RPL26 [Other cytosolic protein] → hypothesis: same target class as RPL26. Not strongly essential in-line (min geneEffect=-1.00).,E[N]=7.91 vs anchor 7.99 (|Δ|=0.09); halt_conf=0.93. ACT axis redundant for target-class call in this line.
3,COX5A,NDUFAB1,approved_target,Enzyme; Oxidoreductase,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,NOT_FETCHED,0.8398,True,0.986,True,5,8,8,1.4328,6.23,6.689,-0.459,0.459,0.2932,6.7005,602,5.75,5.75,-0.821,-0.8212,False,-0.3537,False,common_essential; mean_geneEffect=-0.579,False,0.653,0.82,tolerant,NOT_FOUND,0,False,no strong safety flag,True,autoimmune disorder of central nervous system(0.446),Tbio,PROTAC_degrader; antibody; small_molecule,True,"Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation.",Unclassified protein,"Cytochrome c oxidase, subunit Va/VI",Cellular responses to stimuli; Gene expression (Transcription); Metabolism; Metabolism of proteins,1.3356,0.0,0.0448,1.3804,Undrugged; transcriptionally similar (cos=0.84); STRING-adjacent (score=0.99); same cluster 5 to approved/clinical target NDUFAB1 [Enzyme; Oxidoreductase] → hypothesis: same target class as NDUFAB1. Not strongly essential in-line (min geneEffect=-0.82).,E[N]=6.23 vs anchor 6.69 (|Δ|=0.46); halt_conf=0.29. ACT axis redundant for target-class call in this line.
4,RRP7A,RPS4X,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8364,True,0.923,True,4,12,7,1.3979,7.841,7.981,-0.14,0.14,0.835,6.4164,542,8.0,8.0,-0.966,-0.6676,False,-0.9663,False,see per-line columns,False,0.0,1.305,tolerant,NOT_FOUND,0,False,no strong safety flag,True,"neurodegenerative disease(0.417); microcephaly 28, primary, autosomal recessive(0.333); microcephaly(0.193); cardiac arrest(0.04); hepatocellular carcinoma(0.011)",Tbio,PROTAC_degrader; small_molecule,True,"Enables RNA binding activity. Predicted to be involved in rRNA processing and ribosomal small subunit assembly. Predicted to act upstream of or within blastocyst formation. Predicted to be located in nucleoplasm. Predicted to be part of CURI complex and UTP-C complex. Implicated in primary autosomal recessive microcephaly. [provided by Alliance of Genome Resources, Apr 2022]",NOT_FOUND,Ribosomal RNA-processing protein 7,Metabolism of RNA,1.3133,0.0,0.0484,1.3617,Undrugged; transcriptionally similar (cos=0.84); STRING-adjacent (score=0.92); same cluster 4 to approved/clinical target RPS4X [Other cytosolic protein] → hypothesis: same target class as RPS4X. Not strongly essential in-line (min geneEffect=-0.97).,E[N]=7.84 vs anchor 7.98 (|Δ|=0.14); halt_conf=0.83. ACT axis redundant for target-class call in this line.
5,NOL11,RPS4X,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8415,True,0.807,True,4,9,7,1.345,7.947,7.981,-0.034,0.034,0.921,8.7239,717,8.0,8.0,-0.825,-0.8246,False,-0.5547,False,see per-line columns,False,0.002,0.803,tolerant,NOT_FOUND,0,False,no strong safety flag,True,atrial fibrillation(0.066); diabetes mellitus(0.066); type 2 diabetes mellitus(0.063); cancer(0.011); hereditary North American Indian childhood cirrhosis(0.009),Tbio,PROTAC_degrader,True,"Enables RNA binding activity. Involved in maturation of SSU-rRNA and positive regulation of transcription of nucleolar large rRNA by RNA polymerase I. Located in nucleolus. Part of t-UTP complex. [provided by Alliance of Genome Resources, Apr 2022]",NOT_FOUND,Nucleolar protein 11,Metabolism of RNA,1.2836,0.0,0.0496,1.3332,Undrugged; transcriptionally similar (cos=0.84); STRING-adjacent (score=0.81); same cluster 4 to approved/clinical target RPS4X [Other cytosolic protein] → hypothesis: same target class as RPS4X. Not strongly essential in-line (min geneEffect=-0.82).,E[N]=7.95 vs anchor 7.98 (|Δ|=0.03); halt_conf=0.92. ACT axis redundant for target-class call in this line.
6,MRPL36,NDUFAB1,approved_target,Enzyme; Oxidoreductase,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,NOT_FETCHED,0.792,True,0.97,True,5,16,8,1.377,6.222,6.689,-0.467,0.467,0.3732,3.2954,252,6.5,6.5,-0.815,-0.8146,False,-0.3874,False,common_essential; mean_geneEffect=-0.575,False,0.1915,1.561,tolerant,NOT_FOUND,0,False,no strong safety flag,True,multiple sclerosis(0.308),Tbio,small_molecule,True,Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryot,NOT_FOUND,Mitochondrial Large Ribosomal Subunit bL36m; Large ribosomal subunit protein bL36,Metabolism of proteins,1.283,0.0,0.0447,1.3277,Undrugged; transcriptionally similar (cos=0.79); STRING-adjacent (score=0.97); same cluster 5 to approved/clinical target NDUFAB1 [Enzyme; Oxidoreductase] → hypothesis: same target class as NDUFAB1. Not strongly essential in-line (min geneEffect=-0.81).,E[N]=6.22 vs anchor 6.69 (|Δ|=0.47); halt_conf=0.37. ACT axis redundant for target-class call in this line.
7,C1orf131,RPS4X,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8363,True,0.8,True,4,9,7,1.3363,7.948,7.981,-0.033,0.033,0.9213,7.528,664,8.0,8.0,,,False,,False,,False,0.0,1.099,tolerant,NOT_FOUND,0,False,no strong safety flag,True,,,,False,,NOT_FOUND,,,1.2763,0.0,0.0496,1.3259,Undrugged; transcriptionally similar (cos=0.84); STRING-adjacent (score=0.80); same cluster 4 to approved/clinical target RPS4X [Other cytosolic protein] → hypothesis: same target class as RPS4X. Per-line essentiality unknown.,E[N]=7.95 vs anchor 7.98 (|Δ|=0.03); halt_conf=0.92. ACT axis redundant for target-class call in this line.
8,UTP11,RPS7,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.879,True,0.993,False,4,13,7,1.3755,7.803,7.983,-0.18,0.18,0.8026,8.0753,717,8.0,8.0,-0.872,-0.7163,False,-0.8718,False,see per-line columns,False,0.0,1.071,tolerant,NOT_FOUND,0,False,no strong safety flag,True,coronary artery disorder(0.083); cancer(0.076); hepatocellular carcinoma(0.075); androgenetic alopecia(0.063); neoplasm(0.061),Tbio,PROTAC_degrader; small_molecule,True,"Enables RNA binding activity. Involved in nervous system development and positive regulation of apoptotic process. Located in cytoplasm; extracellular space; and nucleolus. [provided by Alliance of Genome Resources, Apr 2022]",Unclassified protein,"Small-subunit processome, Utp11",Metabolism of RNA,1.2769,0.0,0.048,1.3249,Undrugged; transcriptionally similar (cos=0.88); STRING-adjacent (score=0.99) to approved/clinical target RPS7 [Other cytosolic protein] → hypothesis: same target class as RPS7. Not strongly essential in-line (min geneEffect=-0.87).,E[N]=7.80 vs anchor 7.98 (|Δ|=0.18); halt_conf=0.80. ACT axis redundant for target-class call in this line.
9,COX7C,NDUFAB1,approved_target,Enzyme; Oxidoreductase,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,NOT_FETCHED,0.799,True,0.928,True,5,28,8,1.363,6.405,6.689,-0.284,0.284,0.2238,5.2747,486,5.25,5.25,-0.918,-0.9181,False,-0.2897,False,common_essential; mean_geneEffect=-0.818,False,0.6561,1.016,tolerant,NOT_FOUND,0,False,no strong safety flag,True,autoimmune disorder of central nervous system(0.37); multiple sclerosis(0.37),Tbio,PROTAC_degrader; antibody; small_molecule,True,"Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation.",NOT_FOUND,Cytochrome c oxidase subunit VIIc,Cellular responses to stimuli; Gene expression (Transcription); Metabolism,1.2774,0.0,0.0468,1.3242,Undrugged; transcriptionally similar (cos=0.80); STRING-adjacent (score=0.93); same cluster 5 to approved/clinical target NDUFAB1 [Enzyme; Oxidoreductase] → hypothesis: same target class as NDUFAB1. Not strongly essential in-line (min geneEffect=-0.92).,E[N]=6.41 vs anchor 6.69 (|Δ|=0.28); halt_conf=0.22. ACT axis redundant for target-class call in this line.
10,RPS19BP1,RPS4X,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8339,True,0.813,True,4,9,7,1.3404,7.293,7.981,-0.688,0.688,0.5663,5.8142,500,8.0,8.0,-0.846,-0.586,False,-0.8457,False,see per-line columns,False,0.0001,1.266,tolerant,NOT_FOUND,0,False,no strong safety flag,True,neurodegenerative disease(0.407); neoplasm(0.075); hepatocellular carcinoma(0.074); neurotic disorder(0.059); Epidermolysis bullosa simplex with circinate migratory erythema(0.058),Tbio,PROTAC_degrader; small_molecule,True,"Enables enzyme binding activity. Located in cytosol; nucleolus; and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]",NOT_FOUND,Active regulator of SIRT1,Cellular responses to stimuli,1.2778,0.0,0.0422,1.32,Undrugged; transcriptionally similar (cos=0.83); STRING-adjacent (score=0.81); same cluster 4 to approved/clinical target RPS4X [Other cytosolic protein] → hypothesis: same target class as RPS4X. Not strongly essential in-line (min geneEffect=-0.85).,E[N]=7.29 vs anchor 7.98 (|Δ|=0.69); halt_conf=0.57. ACT axis redundant for target-class call in this line.
11,WDR46,RPS4X,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.7867,True,0.932,True,4,13,7,1.3527,7.649,7.981,-0.332,0.332,0.7136,4.6851,391,8.0,8.0,,,False,,False,see per-line columns,False,0.0,0.939,tolerant,NOT_FOUND,0,False,no strong safety flag,True,NOT_FOUND,Tbio,NOT_FOUND,True,"Enables RNA binding activity. Predicted to be involved in maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA). Predicted to be located in nucleoplasm. Predicted to be part of small-subunit processome. Predicted to be active in nucleolus. [provided by Alliance of Genome Resources, Apr 2022]",NOT_FOUND,WD repeat-containing protein WDR46/Utp7,NOT_FOUND,1.2663,0.0,0.0462,1.3125,Undrugged; transcriptionally similar (cos=0.79); STRING-adjacent (score=0.93); same cluster 4 to approved/clinical target RPS4X [Other cytosolic protein] → hypothesis: same target class as RPS4X. Per-line essentiality unknown.,E[N]=7.65 vs anchor 7.98 (|Δ|=0.33); halt_conf=0.71. ACT axis redundant for target-class call in this line.
12,MCM3,POLA1,approved_target,Enzyme; Transferase,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,NOT_FETCHED,0.7573,True,0.988,True,6,10,6,1.3513,7.664,7.722,-0.058,0.058,0.7502,3.4457,231,8.0,8.0,-0.817,-0.8167,False,-0.6973,False,see per-line columns,False,0.0,0.812,tolerant,NOT_FOUND,0,False,no strong safety flag,True,neurodegenerative disease(0.298); Meier-Gorlin syndrome(0.12); hepatocellular carcinoma(0.109); cancer(0.098); neoplasm(0.085),Tbio,PROTAC_degrader; small_molecule,True,"The protein encoded by this gene is one of the highly conserved mini-chromosome maintenance proteins (MCM) that are involved in the initiation of eukaryotic genome replication. The hexameric protein complex formed by MCM proteins is a key component of the pre-replication complex (pre_RC) and may be involved in the formation of replication forks and in the recruitment of other DNA replication related proteins. This protein is a subunit of the protein complex that consists of MCM2-7. It has been shown to interact directly with MCM5/CDC46. This protein also interacts with and is acetylated by MCM3AP, a chromatin-associated acetyltransferase. The acetylation of this protein inhibits the initiation of DNA replication and cell cycle progression. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2018].",Enzyme; Hydrolase,DNA replication licensing factor Mcm3; Mini-chromosome maintenance protein,DNA Replication; Cell Cycle,1.2537,0.0,0.0493,1.303,Undrugged; transcriptionally similar (cos=0.76); STRING-adjacent (score=0.99); same cluster 6 to approved/clinical target POLA1 [Enzyme; Transferase] → hypothesis: same target class as POLA1. Not strongly essential in-line (min geneEffect=-0.82).,E[N]=7.66 vs anchor 7.72 (|Δ|=0.06); halt_conf=0.75. ACT axis redundant for target-class call in this line.
13,MRPL24,NDUFAB1,approved_target,Enzyme; Oxidoreductase,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,NOT_FETCHED,0.7444,True,0.987,True,5,36,8,1.3379,6.176,6.689,-0.513,0.513,0.3498,3.9838,333,8.0,8.0,-0.828,-0.8275,False,-0.0191,False,common_essential; mean_geneEffect=-0.455,False,0.0072,0.813,tolerant,NOT_FOUND,0,False,no strong safety flag,True,autoimmune disease(0.03); systemic-onset juvenile idiopathic arthritis(0.013),Tdark,PROTAC_degrader; small_molecule,True,Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryot,NOT_FOUND,Large ribosomal subunit protein uL24,Metabolism of proteins,1.2405,0.0,0.0442,1.2847,Undrugged; transcriptionally similar (cos=0.74); STRING-adjacent (score=0.99); same cluster 5 to approved/clinical target NDUFAB1 [Enzyme; Oxidoreductase] → hypothesis: same target class as NDUFAB1. Not strongly essential in-line (min geneEffect=-0.83).,E[N]=6.18 vs anchor 6.69 (|Δ|=0.51); halt_conf=0.35. ACT axis redundant for target-class call in this line.
14,DDX52,RPS7,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8742,True,0.843,False,4,8,7,1.2957,7.716,7.983,-0.267,0.267,0.7552,5.7142,475,8.0,8.0,,,False,,False,NOT_FOUND,False,0.0,0.889,tolerant,NOT_FOUND,0,False,no strong safety flag,True,NOT_FOUND,Tbio,NOT_FOUND,True,Required for efficient ribosome biogenesis .,NOT_FOUND,P-loop containing nucleoside triphosphate hydrolase,NOT_FOUND,1.2271,0.0,0.047,1.2741,Undrugged; transcriptionally similar (cos=0.87); STRING-adjacent (score=0.84) to approved/clinical target RPS7 [Other cytosolic protein] → hypothesis: same target class as RPS7. Per-line essentiality unknown.,E[N]=7.72 vs anchor 7.98 (|Δ|=0.27); halt_conf=0.76. ACT axis redundant for target-class call in this line.
15,ATP5ME,NDUFB4,approved_target,NOT_FOUND,Mitochondrial complex I (NADH dehydrogenase) inhibitor,APPROVED: METFORMIN; METFORMIN HYDROCHLORIDE | CANDIDATES: ME-344[PHASE_1_2],0.7422,True,0.936,True,5,13,8,1.3102,5.956,6.151,-0.195,0.195,0.3368,5.5004,513,6.5,6.0,-0.442,-0.442,False,-0.1126,False,common_essential; mean_geneEffect=-0.614,False,0.0003,1.607,tolerant,NOT_FOUND,0,False,no strong safety flag,True,systemic-onset juvenile idiopathic arthritis(0.01); type 1 diabetes mellitus(0.007),Tbio,PROTAC_degrader; small_molecule,True,"Subunit e, of the mitochondrial membrane ATP synthase complex (F(1)F(0) ATP synthase or Complex V) that produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain .",Unclassified protein,"ATP synthase, F0 complex, subunit E, mitochondrial",Metabolism; Organelle biogenesis and maintenance,1.223,0.0,0.0478,1.2708,Undrugged; transcriptionally similar (cos=0.74); STRING-adjacent (score=0.94); same cluster 5 to approved/clinical target NDUFB4 → hypothesis: same target class as NDUFB4. Not strongly essential in-line (min geneEffect=-0.44).,E[N]=5.96 vs anchor 6.15 (|Δ|=0.20); halt_conf=0.34. ACT axis redundant for target-class call in this line.
16,RPP30,RPS7,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8642,True,0.844,False,4,6,7,1.2862,7.796,7.983,-0.187,0.187,0.7969,6.2246,529,8.0,8.0,-0.73,-0.6834,False,-0.73,False,see per-line columns,False,0.0002,1.37,tolerant,NOT_FOUND,0,False,no strong safety flag,True,neurodegenerative disease(0.512); ovarian dysfunction(0.293); alcohol drinking(0.29); Irritability(0.144); Chest pain(0.082),Tbio,PROTAC_degrader,True,"Enables ribonuclease P RNA binding activity. Contributes to ribonuclease P activity. Involved in tRNA 5'-leader removal. Part of multimeric ribonuclease P complex and ribonuclease MRP complex. [provided by Alliance of Genome Resources, Apr 2022]",Unclassified protein,RNase P subunit p30,Metabolism of RNA,1.2174,0.0,0.0479,1.2653,Undrugged; transcriptionally similar (cos=0.86); STRING-adjacent (score=0.84) to approved/clinical target RPS7 [Other cytosolic protein] → hypothesis: same target class as RPS7. Not strongly essential in-line (min geneEffect=-0.73).,E[N]=7.80 vs anchor 7.98 (|Δ|=0.19); halt_conf=0.80. ACT axis redundant for target-class call in this line.
17,RPP14,RPS7,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8789,True,0.801,False,4,4,7,1.2794,7.054,7.983,-0.929,0.929,0.5054,6.7923,607,8.0,8.0,-0.914,-0.7458,False,-0.9141,False,common_essential; mean_geneEffect=-1.001,False,0.0,1.569,tolerant,NOT_FOUND,0,False,no strong safety flag,True,rheumatoid arthritis(0.058),Tbio,PROTAC_degrader,True,"Component of ribonuclease P, a ribonucleoprotein complex that generates mature tRNA molecules by cleaving their 5'-ends.",NOT_FOUND,RNase P subunit Pop5/Rpp14/Rnp2-like,Metabolism of RNA,1.2192,0.0,0.0395,1.2587,Undrugged; transcriptionally similar (cos=0.88); STRING-adjacent (score=0.80) to approved/clinical target RPS7 [Other cytosolic protein] → hypothesis: same target class as RPS7. Not strongly essential in-line (min geneEffect=-0.91).,E[N]=7.05 vs anchor 7.98 (|Δ|=0.93); halt_conf=0.51. ACT axis redundant for target-class call in this line.
18,MRPS30,NDUFAB1,approved_target,Enzyme; Oxidoreductase,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,NOT_FETCHED,0.7272,True,0.943,True,5,3,8,1.2987,6.301,6.689,-0.388,0.388,0.3381,4.8756,468,8.0,8.0,-0.329,-0.3286,False,-0.1594,False,not_common_essential; mean_geneEffect=-0.399,False,0.0,1.243,tolerant,NOT_FOUND,0,False,no strong safety flag,True,phototoxic dermatitis(0.31),Tbio,PROTAC_degrader; small_molecule,True,Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryot,NOT_FOUND,Large ribosomal subunit protein mL37/mL65; Large ribosomal subunit protein mL65,Metabolism of proteins,1.2101,0.0,0.0456,1.2557,Undrugged; transcriptionally similar (cos=0.73); STRING-adjacent (score=0.94); same cluster 5 to approved/clinical target NDUFAB1 [Enzyme; Oxidoreductase] → hypothesis: same target class as NDUFAB1. Not strongly essential in-line (min geneEffect=-0.33).,E[N]=6.30 vs anchor 6.69 (|Δ|=0.39); halt_conf=0.34. ACT axis redundant for target-class call in this line.
19,MRPL16,NDUFAB1,approved_target,Enzyme; Oxidoreductase,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,NOT_FETCHED,0.6862,True,0.957,True,5,34,8,1.2647,6.2,6.689,-0.489,0.489,0.2962,3.6261,294,8.0,7.5,-0.715,-0.7146,False,-0.084,False,common_essential; mean_geneEffect=-0.561,False,0.0,1.105,tolerant,NOT_FOUND,0,False,no strong safety flag,True,multiple sclerosis(0.29),Tdark,PROTAC_degrader; small_molecule,True,Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryot,NOT_FOUND,"Large ribosomal subunit protein uL16; Large ribosomal subunit protein uL16, bacteria",Metabolism of proteins,1.1733,0.0,0.0445,1.2178,Undrugged; transcriptionally similar (cos=0.69); STRING-adjacent (score=0.96); same cluster 5 to approved/clinical target NDUFAB1 [Enzyme; Oxidoreductase] → hypothesis: same target class as NDUFAB1. Not strongly essential in-line (min geneEffect=-0.71).,E[N]=6.20 vs anchor 6.69 (|Δ|=0.49); halt_conf=0.30. ACT axis redundant for target-class call in this line.
20,SURF6,RPL7,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8373,True,0.727,False,3,13,8,1.2008,7.865,7.997,-0.132,0.132,0.899,7.0396,597,8.0,8.0,,,False,,False,see per-line columns,False,0.0,1.158,tolerant,NOT_FOUND,0,False,no strong safety flag,True,NOT_FOUND,Tbio,NOT_FOUND,True,"This gene encodes a conserved protein that is localized to the nucleolus. The encoded protein may function as a nucleolar-matrix protein with nucleic acid-binding properties. There is a pseudogene for this gene on chromosome Y. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013].",NOT_FOUND,Surfeit locus 6,NOT_FOUND,1.1554,0.0,0.0485,1.2039,Undrugged; transcriptionally similar (cos=0.84); STRING-adjacent (score=0.73) to approved/clinical target RPL7 [Other cytosolic protein] → hypothesis: same target class as RPL7. Per-line essentiality unknown.,E[N]=7.87 vs anchor 8.00 (|Δ|=0.13); halt_conf=0.90. ACT axis redundant for target-class call in this line.
21,NOL8,RPL10A,approved_target,Other cytosolic protein,80S Ribosome inhibitor; 80S Ribosome modulator; B-lymphocyte antigen CD20 binding agent; Epithelial cell adhesion molecule binding agent; T-cell surface glycoprotein CD5 binding agent,NOT_FETCHED,0.8484,True,0.66,False,3,2,8,1.1784,7.877,7.995,-0.118,0.118,0.9087,7.2623,590,8.0,8.0,,,False,,False,see per-line columns,False,0.0,0.948,tolerant,NOT_FOUND,0,False,no strong safety flag,True,NOT_FOUND,Tbio,NOT_FOUND,True,"NOL8 binds Ras-related GTP-binding proteins (see MIM 608267) and plays a role in cell growth (Sekiguchi et al., 2004 [PubMed 14660641]).[supplied by OMIM, Mar 2008].",NOT_FOUND,NOT_FOUND,NOT_FOUND,1.1464,0.0,0.0487,1.1951,Undrugged; transcriptionally similar (cos=0.85); STRING-adjacent (score=0.66) to approved/clinical target RPL10A [Other cytosolic protein] → hypothesis: same target class as RPL10A. Per-line essentiality unknown.,E[N]=7.88 vs anchor 8.00 (|Δ|=0.12); halt_conf=0.91. ACT axis redundant for target-class call in this line.
