candidate,n_lines,lines,mean_score_pct,best_rank,mean_response_cosine,anchor_class_mode,anchor_class_consistency,anchors,mean_delta_E_N,any_tox_essential,all_tox_essential,recurrence_note
SPTSSA,3,"hepg2,jurkat,k562",0.4095282373624651,291,0.1247,Enzyme; Aminoacyltransferase,0.3333333333333333,NDUFAF3;RBX1;HDAC3,0.069,False,False,non_essential(safety-pass)
VPS35,3,"hepg2,jurkat,rpe1",0.4094689830576581,256,0.6199,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.3333333333333333,FNTA;MTOR;RPL26,-0.258,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
TMEM127,3,"hepg2,jurkat,rpe1",0.4059347497882953,295,-0.0020333333333333,Enzyme; Isomerase,0.3333333333333333,PPIA;MEN1;EGLN2,-0.0035,False,False,non_essential(safety-pass)
SKP2,3,"jurkat,k562,rpe1",0.404695621189356,245,0.18325,Enzyme; Aminoacyltransferase,0.5,PSMD4;POLD1;RBX1,1.887,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MEX3A,3,"hepg2,jurkat,k562",0.4035305055969516,404,0.42585,Enzyme; Transferase,0.6666666666666666,POLA1;MTOR;FNTA,-1.009,False,False,non_essential(safety-pass)
CIAPIN1,3,"hepg2,jurkat,k562",0.4018405355601382,421,0.64405,Enzyme,0.3333333333333333,POLD1;POLD3;RPL24,-0.698,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
PRORP,3,"hepg2,jurkat,rpe1",0.4008032200422253,248,0.2426,Enzyme; Aminoacyltransferase,0.5,NDUFAB1;NDUFA11;RBX1,0.6194999999999999,False,False,non_essential(safety-pass)
EXOSC8,3,"jurkat,k562,rpe1",0.3965203572715949,264,0.6526000000000001,Other cytosolic protein,1.0,RPS7;RPL26;RPS6,-0.597,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
IST1,3,"hepg2,jurkat,rpe1",0.3931306155571064,253,0.0706666666666666,Structural protein,0.6666666666666666,CCDC6;TUBB2A;TUBA1B,0.002,False,False,non_essential(safety-pass)
ADSL,3,"jurkat,k562,rpe1",0.3931143811017772,334,0.0078999999999999,Enzyme; Kinase,0.3333333333333333,IMPDH2;MTOR;GART,-0.312,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
TAF7,3,"hepg2,jurkat,k562",0.3893125908481542,68,0.40655,Enzyme; Kinase,0.3333333333333333,E2F6;TYK2;MTOR,-3.041,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
SARS2,3,"hepg2,k562,rpe1",0.3856822424601918,126,-0.05065,Enzyme; Kinase,0.3333333333333333,NDUFAB1;MTOR;GART,-0.7755,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
DNAJA3,3,"hepg2,k562,rpe1",0.3846203019453584,93,0.27035,Enzyme; Oxidoreductase,0.5,NDUFA6;NDUFV2,-0.0199999999999999,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
RFT1,3,"jurkat,k562,rpe1",0.3844402966330957,106,0.24985,Enzyme; Oxidoreductase,0.6666666666666666,EGLN2;MTOR;NDUFB10,-1.611,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NASP,3,"jurkat,k562,rpe1",0.3829392750853604,431,0.2603499999999999,NOT_FOUND,0.3333333333333333,NPM1;ATP1A1;PRIM1,2.308,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
TRMT6,3,"hepg2,jurkat,k562",0.3791799750527915,264,0.16525,Enzyme; Oxidoreductase,0.5,PPP2CA;RPL39;NDUFB6,-0.579,False,False,non_essential(safety-pass)
PRRC2A,3,"hepg2,jurkat,rpe1",0.3788633067090801,354,0.2583333333333333,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.3333333333333333,PSMD14;MTOR;PSMA3,-1.71,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
SF3B5,3,"hepg2,k562,rpe1",0.3775230815150026,138,0.68615,Enzyme; Transferase,0.6666666666666666,ATR;FNTA;POLD1,1.193,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
ATP6V1G1,3,"hepg2,jurkat,rpe1",0.3770154262095862,260,0.3684,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.3333333333333333,TFRC;NDUFAB1;MTOR,0.149,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MRPL3,3,"hepg2,jurkat,k562",0.3758471932350229,398,0.57385,Enzyme; Oxidoreductase,1.0,NDUFAB1;NDUFB10,-0.91,True,False,essential_in_some_lines
ACTR6,3,"hepg2,jurkat,rpe1",0.3715287297681877,216,0.2714,Enzyme; Aminoacyltransferase,0.3333333333333333,FNTA;TYK2;RBX1,1.143,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
AAAS,3,"hepg2,k562,rpe1",0.3707543792787942,213,0.18125,Enzyme; Kinase; Protein Kinase; TK protein kinase group; Tyrosine protein kinase Fak family,0.3333333333333333,NPM1;RPS21;PTK2,0.5395000000000001,False,False,non_essential(safety-pass)
TIMM44,3,"jurkat,k562,rpe1",0.3700786819864984,205,0.6306,Other cytosolic protein,1.0,NDUFA11;RPL24,-0.025,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
CS,3,"hepg2,jurkat,rpe1",0.3691643348360192,320,0.1356,Enzyme; Oxidoreductase,0.6666666666666666,NDUFB8;NDUFV2;RPL8,-0.48,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MED11,3,"hepg2,k562,rpe1",0.3662932021313867,317,0.69265,Enzyme; Isomerase,0.5,POLA1;POLE;TOP1,-2.891,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
DDX5,3,"hepg2,jurkat,k562",0.3660033437405284,412,0.273,Enzyme; Transferase,0.3333333333333333,XPO1;RPL10A;FNTA,-1.311,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
AIFM1,3,"hepg2,jurkat,rpe1",0.3635567674435661,435,0.1158333333333333,Enzyme; Isomerase,0.3333333333333333,NDUFAB1;PPIA;NDUFA8,-0.6525000000000001,False,False,non_essential(safety-pass)
GUK1,3,"hepg2,jurkat,rpe1",0.36296984841758,192,0.2120333333333333,Enzyme; Ligase,0.6666666666666666,GART;IMPDH2,0.659,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NAA30,3,"hepg2,jurkat,rpe1",0.3604707384691699,416,0.3171,Enzyme; Aminoacyltransferase,0.6666666666666666,RBX1;KEAP1,-1.065,False,False,non_essential(safety-pass)
PAXBP1,3,"hepg2,jurkat,k562",0.3582538562273691,401,0.34225,Enzyme; Ligase,1.0,GART;SEM1,-0.243,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
SNRPC,3,"hepg2,k562,rpe1",0.3528852835018927,240,0.64985,Enzyme; Protease; Threonine protease; Threonine protease PBT clan; Threonine protease T1A subfamily,0.3333333333333333,PSMB2;RPL27A;POLA1,-1.507,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
