perturbation,EN_learned,argmin_depth,effect_size
DCTN4,3.0,7.0,2.1004
DCTN5,3.0,7.0,1.6679
DCTN6,3.0,7.667,2.2659
DCUN1D5,3.0,3.667,2.9494
DDOST,3.0,5.0,2.9458
DDX10,3.0,7.0,3.3163
DDX11,3.0,7.0,1.4712
DDX18,3.0,2.0,5.3185
DDX20,3.0,4.333,2.6138
DDX21,3.0,7.333,3.2201
DDX27,3.0,2.0,3.805
DDX41,3.0,5.0,5.6277
DDX49,3.0,3.833,3.2174
DDX5,3.0,7.5,2.4603
DDX51,3.0,7.0,2.7671
DDX52,3.0,4.667,3.4996
DDX55,3.0,7.0,2.2606
DDX56,3.0,2.0,4.2301
DDX59,3.0,5.0,1.7241
DDX6,3.0,3.5,5.4854
DERL2,3.0,5.0,2.7915
DHDDS,3.0,5.0,4.7306
DHPS,3.0,6.0,2.308
DHX16,3.0,3.167,4.4357
DHX33,3.0,1.833,2.3792
DHX36,3.0,3.833,2.3214
DHX37,3.0,7.167,2.9996
DICER1,3.0,3.167,2.0876
DIMT1,3.0,3.0,4.0911
DKC1,3.0,7.0,3.0159
DLD,3.0,6.0,5.0789
DMAP1,3.0,6.0,5.5125
DNAJA3,3.0,1.5,3.7379
DNAJC11,3.0,6.667,2.7289
DNAJC17,3.0,5.0,5.7167
DNAJC19,3.0,1.0,6.1021
DNM1L,3.0,6.0,2.2451
DOLK,3.0,6.167,1.5731
DPAGT1,3.0,1.0,1.3976
DPH3,3.0,7.0,2.273
DR1,3.0,4.333,2.0382
DRAP1,3.0,8.0,1.717
DRG1,3.0,4.0,1.3891
DSN1,3.0,1.0,3.1389
DYNC1H1,3.0,1.0,2.5293
DYNLL1,3.0,6.667,3.2196
E2F6,3.0,8.0,1.5066
EARS2,3.0,7.0,1.5037
EBNA1BP2,3.0,1.667,3.9586
ECD,3.0,6.0,3.2761
EDC4,3.0,5.0,1.551
EEF1G,3.0,7.0,2.729
EIF1AD,3.0,7.667,3.1028
EIF2B1,3.0,4.667,2.8874
EIF2B2,3.0,4.0,5.2027
EIF2B3,3.0,4.0,5.0969
EIF2B5,3.0,4.0,5.114
EIF2S1,3.0,3.833,8.2537
EIF2S3,3.0,4.0,8.2549
EIF3D,3.0,5.167,5.9038
EIF3M,3.0,6.0,4.3502
EIF4A1,3.0,5.0,3.6371
EIF4B,3.0,5.667,3.3212
EIF4E,3.0,6.0,3.8008
EIF4G1,3.0,6.0,3.3002
EIF6,3.0,2.0,3.5669
ELAC2,3.0,8.0,2.1017
ELL,3.0,5.833,2.2211
ELOVL1,3.0,6.0,1.3579
ELP5,3.0,6.0,1.7897
ELP6,3.0,1.0,1.9766
EMC1,3.0,8.0,1.9387
ENO1,3.0,6.833,3.3208
EP400,3.0,3.0,6.6308
EPRS,3.0,4.0,3.6276
ERAL1,3.0,8.0,1.7755
ERCC2,3.0,4.0,2.8368
EXOC1,3.0,7.0,1.3307
EXOC2,3.0,8.0,1.892
EXOC7,3.0,6.0,4.4181
EXOSC1,3.0,2.0,2.0591
EXOSC10,3.0,7.0,2.5757
EXOSC2,3.0,6.0,6.0679
EXOSC3,3.0,6.0,6.3506
EXOSC4,3.0,6.0,5.8239
EXOSC5,3.0,6.0,5.9791
EXOSC7,3.0,6.0,3.5008
EXOSC8,3.0,6.0,5.2975
FAF2,3.0,6.0,1.4715
FAM136A,3.0,4.833,6.3559
FAM207A,3.0,5.667,1.788
FAM32A,3.0,4.667,3.2801
FAM50A,3.0,1.0,5.4565
FARSA,3.0,4.0,4.2552
FARSB,3.0,4.0,4.5831
FASTKD5,3.0,6.0,2.7971
FBL,3.0,2.833,5.2902
FCF1,3.0,3.0,4.1081
FDXR,3.0,6.833,1.5355
FEN1,3.0,5.5,1.6509
FGFR1OP,3.0,7.0,1.7321
FNBP4,3.0,4.667,1.8704
FNTA,3.0,1.0,2.9818
FXN,3.0,7.0,1.4763
GAR1,3.0,4.333,2.1016
GEMIN4,3.0,1.0,2.5697
GEMIN5,3.0,4.0,2.946
GEMIN7,3.0,4.667,1.5364
GEMIN8,3.0,8.0,1.7825
GFER,3.0,6.167,2.1732
GFM1,3.0,2.667,2.048
GINS1,3.0,5.167,4.7688
GINS2,3.0,3.667,3.7341
GINS3,3.0,2.0,2.8179
GINS4,3.0,2.0,3.9297
