perturbation,EN_learned,argmin_depth,effect_size
SARS2,3.0,1.0,1.7015
SART3,3.0,5.0,2.9476
SBNO1,3.0,4.0,1.7498
SCAF1,3.0,5.5,3.1972
SDAD1,3.0,2.0,3.7948
SDE2,3.0,5.667,2.1949
SDHA,3.0,1.0,2.4113
SDHAF2,3.0,6.333,1.6264
SDHC,3.0,3.667,2.3218
SEH1L,3.0,6.0,3.5699
SEM1,3.0,6.0,4.2392
SENP6,3.0,7.0,1.8315
SEPHS2,3.0,6.0,1.5722
SEPSECS,3.0,7.0,1.8669
SERBP1,3.0,5.0,2.3375
SETD2,3.0,2.0,2.2388
SF3B5,3.0,2.0,5.8253
SFSWAP,3.0,6.667,2.8054
SHQ1,3.0,3.833,1.7139
SKA3,3.0,1.333,2.1921
SKP1,3.0,7.0,3.5407
SKP2,3.0,1.0,1.5577
SLC1A5,3.0,5.667,1.0131
SLC25A3,3.0,7.0,1.6975
SLC39A7,3.0,5.0,1.9951
SLC39A9,3.0,8.0,1.4554
SLC7A6OS,3.0,3.0,4.0844
SLU7,3.0,5.333,7.493
SMC1A,3.0,6.0,5.8521
SMC2,3.0,7.0,3.0807
SMC5,3.0,7.0,1.6136
SMC6,3.0,7.0,1.8079
SNAPC1,3.0,4.0,4.0499
SNRNP27,3.0,7.0,3.6639
SNRNP35,3.0,7.0,2.7127
SNRNP48,3.0,6.833,3.2893
SNRPC,3.0,4.0,5.9834
SNRPD1,3.0,4.0,7.7547
SNRPG,3.0,3.0,4.5848
SNUPN,3.0,8.0,1.4882
SOD1,3.0,1.0,1.3996
SOD2,3.0,1.0,1.3645
SP2,3.0,8.0,2.0328
SPATA5L1,3.0,7.0,1.7152
SPC24,3.0,3.5,4.9488
SPC25,3.0,1.0,5.4481
SPCS2,3.0,5.0,1.9151
SPCS3,3.0,5.5,2.2791
SPRTN,3.0,4.5,1.5795
SPTSSA,3.0,7.0,1.6562
SRBD1,3.0,5.333,2.5176
SRF,3.0,8.0,1.5924
SRFBP1,3.0,5.0,3.4385
SRP14,3.0,7.0,2.1078
SRP19,3.0,6.0,1.9902
SRP54,3.0,5.667,3.0871
SRP68,3.0,6.0,3.3494
SRP72,3.0,5.0,1.6686
SRP9,3.0,6.667,2.0066
SRRM1,3.0,1.0,2.5046
SRRM2,3.0,7.0,2.2471
SRRT,3.0,6.0,5.2305
SRSF1,3.0,4.0,4.5504
SRSF7,3.0,6.0,3.9399
SS18L2,3.0,6.667,2.0519
SSBP1,3.0,6.0,4.2054
SSU72,3.0,1.0,3.3686
STRIP1,3.0,7.0,1.758
SUPT16H,3.0,5.667,6.3832
SUPT5H,3.0,1.0,7.8049
SUPT6H,3.0,2.667,9.3424
SYF2,3.0,1.0,3.4612
SYMPK,3.0,6.0,4.9695
SYS1,3.0,1.0,2.3661
TADA3,3.0,5.167,2.2646
TAF10,3.0,6.0,6.5476
TAF12,3.0,5.0,6.2518
TAF1B,3.0,7.0,2.1188
TAF2,3.0,6.0,4.9069
TAF7,3.0,4.333,4.6818
TAF8,3.0,5.833,4.5782
TAMM41,3.0,6.0,1.5889
TARDBP,3.0,6.0,2.058
TARS2,3.0,1.333,2.4269
TBCA,3.0,7.0,1.2519
TBCB,3.0,2.0,2.751
TBL3,3.0,3.0,3.6768
TCERG1,3.0,7.0,2.7864
TCOF1,3.0,5.0,2.5617
TELO2,3.0,6.0,3.7579
TEX10,3.0,2.0,3.2021
TFAM,3.0,6.0,2.9614
TFDP1,3.0,6.833,2.1671
TGS1,3.0,7.5,1.4733
THAP1,3.0,2.5,2.9918
THAP11,3.0,1.167,2.5278
THG1L,3.0,2.0,4.4176
THOC2,3.0,6.0,5.331
THOC3,3.0,1.0,2.944
TIMM10,3.0,5.333,2.4069
TIMM13,3.0,6.333,2.5981
TIMM22,3.0,7.0,2.075
TIMM44,3.0,2.0,5.2613
TIMM8A,3.0,6.0,1.4892
TINF2,3.0,6.833,2.1798
TLN1,3.0,8.0,2.0474
TM7SF2,3.0,7.833,1.7067
TMEM127,3.0,4.333,1.4304
TMEM199,3.0,6.5,1.758
TMEM258,3.0,5.0,1.6617
TMX2,3.0,2.5,3.8162
TNPO3,3.0,6.0,2.9677
TOP3A,3.0,6.667,1.3858
TOPBP1,3.0,3.667,3.2581
TP53RK,3.0,5.0,2.0823
TPR,3.0,1.833,4.0874
TPRKB,3.0,5.667,3.3151
TPX2,3.0,6.0,2.577
TRA2B,3.0,4.0,2.9293
TRAPPC11,3.0,6.167,2.0035
TRAPPC3,3.0,6.5,1.4401
TRAPPC4,3.0,7.833,1.26
TRAPPC5,3.0,7.0,1.7878
TRAPPC8,3.0,7.0,1.6521
TRIAP1,3.0,5.5,2.3955
TRMT6,3.0,7.333,1.6089
TRNT1,3.0,5.5,1.4737
TRPM7,3.0,1.0,2.608
TSEN2,3.0,4.0,2.6504
TSEN54,3.0,6.5,2.4076
TSFM,3.0,1.0,1.945
TSG101,3.0,7.0,5.4413
TSPYL5,3.0,1.0,1.884
TSR2,3.0,1.667,5.1966
TTC1,3.0,2.0,2.2046
TTC27,3.0,3.5,2.9432
TTC4,3.0,6.0,1.9891
TTI1,3.0,6.0,3.4743
TTK,3.0,6.0,4.2786
TUBA1B,3.0,2.5,3.7548
TUBE1,3.0,6.667,1.4191
TUBGCP3,3.0,5.5,3.1009
TUBGCP5,3.0,8.0,2.0328
TWISTNB,3.0,2.5,5.9423
TXN,3.0,6.0,3.6354
TXNL4B,3.0,7.0,1.5217
U2SURP,3.0,5.0,4.1069
UBA2,3.0,7.0,2.6808
UBA3,3.0,4.0,2.7442
UBE2D3,3.0,7.5,1.6736
UBE2H,3.0,7.0,1.2843
UBE2L3,3.0,7.0,2.4616
UBE2Z,3.0,1.167,2.1667
UBL5,3.0,3.0,4.4308
UBR5,3.0,8.0,3.0996
UFL1,3.0,6.0,1.824
UFM1,3.0,5.0,2.044
UNC50,3.0,6.833,1.9467
UPF2,3.0,4.0,3.5984
UPF3A,3.0,5.0,2.2829
UQCC2,3.0,1.833,2.5122
UQCRC2,3.0,2.0,2.5829
UQCRFS1,3.0,1.0,2.4831
UQCRH,3.0,7.0,3.2541
UQCRQ,3.0,6.0,2.1447
URB1,3.0,8.0,2.9269
URB2,3.0,7.0,2.1159
URI1,3.0,2.0,2.3573
URM1,3.0,6.0,1.9435
UROD,3.0,1.0,1.4653
USP10,3.0,2.0,2.0272
USP37,3.0,4.667,2.2463
USPL1,3.0,2.167,2.4655
UTP18,3.0,5.5,3.6147
UTP20,3.0,4.5,4.1477
UTP6,3.0,3.0,4.3359
UXS1,3.0,4.833,2.1075
UXT,3.0,5.667,2.9082
VARS,3.0,4.0,5.5143
VARS2,3.0,1.0,1.8322
VBP1,3.0,5.833,1.7204
VHL,3.0,8.0,1.431
VPS13D,3.0,1.0,1.608
VPS25,3.0,3.667,2.0846
VPS28,3.0,7.0,6.9544
VPS33A,3.0,8.0,1.4739
VPS37A,3.0,1.0,1.9391
VPS41,3.0,6.0,1.1066
VPS51,3.0,6.0,1.7985
VPS72,3.0,8.0,2.995
WARS,3.0,1.0,2.0756
WDHD1,3.0,7.333,1.6558
WDR12,3.0,2.0,3.5928
WDR3,3.0,5.0,3.7463
WDR36,3.0,4.0,3.708
WDR4,3.0,6.833,1.0383
WDR54,3.0,8.0,1.1578
WDR55,3.0,7.667,2.127
WDR61,3.0,7.0,3.2593
WDR75,3.0,8.0,4.7187
WDR77,3.0,8.0,3.1559
WDR82,3.0,1.0,5.5304
WDR83OS,3.0,3.833,2.0365
WNK1,3.0,3.833,1.8866
XRCC2,3.0,5.667,1.4562
XRCC3,3.0,7.0,2.9087
YARS2,3.0,3.5,1.6447
YEATS2,3.0,8.0,2.0194
YEATS4,3.0,8.0,2.5227
YKT6,3.0,6.167,2.7717
YPEL5,3.0,7.0,2.2404
ZCCHC9,3.0,8.0,4.1841
ZFC3H1,3.0,6.0,5.1352
ZMAT2,3.0,4.0,3.0573
ZMAT5,3.0,7.0,2.6687
ZNF100,3.0,7.167,1.8521
ZNF24,3.0,1.167,2.3213
ZNHIT2,3.0,5.5,1.9691
ZNHIT3,3.0,3.0,1.9341
ZNHIT6,3.0,6.0,2.7679
ZRANB2,3.0,8.0,2.9967
ZW10,3.0,6.833,1.4214
