perturbation,depth_mean,effect_size,n_de,n_cells
DCTN4,7.0,2.1004,93,73
DCTN5,7.0,1.6679,33,130
DCTN6,7.0,2.2659,107,58
DCUN1D5,3.25,2.9494,215,164
DDOST,5.0,2.9458,138,74
DDX10,7.0,3.3163,248,97
DDX11,6.25,1.4712,11,121
DDX18,2.0,5.3185,468,128
DDX20,5.0,2.6138,129,110
DDX21,6.25,3.2201,231,79
DDX27,2.0,3.805,341,40
DDX41,5.0,5.6277,595,259
DDX49,3.625,3.2174,268,41
DDX5,7.25,2.4603,70,134
DDX51,7.25,2.7671,172,120
DDX52,4.625,3.4996,245,106
DDX55,7.0,2.2606,116,150
DDX56,2.0,4.2301,322,144
DDX59,4.625,1.7241,42,152
DDX6,3.625,5.4854,591,56
DERL2,5.0,2.7915,164,122
DHDDS,5.0,4.7306,332,95
DHPS,5.75,2.308,113,56
DHX16,3.125,4.4357,465,305
DHX33,2.5,2.3792,117,127
DHX36,3.5,2.3214,116,267
DHX37,7.625,2.9996,161,202
DICER1,3.0,2.0876,97,153
DIMT1,3.0,4.0911,330,83
DKC1,7.0,3.0159,212,64
DLD,6.0,5.0789,423,283
DMAP1,6.0,5.5125,491,71
DNAJA3,2.25,3.7379,227,122
DNAJC11,6.625,2.7289,200,41
DNAJC17,5.0,5.7167,643,30
DNAJC19,1.0,6.1021,502,328
DNM1L,5.375,2.2451,108,144
DOLK,6.0,1.5731,30,145
DPAGT1,1.125,1.3976,11,132
DPH3,7.0,2.273,100,53
DR1,4.125,2.0382,75,103
DRAP1,7.75,1.717,36,217
DRG1,2.625,1.3891,9,175
DSN1,1.0,3.1389,224,234
DYNC1H1,1.0,2.5293,134,217
DYNLL1,7.25,3.2196,209,57
E2F6,8.0,1.5066,14,140
EARS2,7.0,1.5037,21,188
EBNA1BP2,1.75,3.9586,323,70
ECD,6.0,3.2761,257,69
EDC4,5.0,1.551,21,151
EEF1G,7.0,2.729,160,170
EIF1AD,7.5,3.1028,261,31
EIF2B1,4.375,2.8874,193,162
EIF2B2,4.0,5.2027,416,307
EIF2B3,4.0,5.0969,438,96
EIF2B5,4.0,5.114,416,412
EIF2S1,3.75,8.2537,707,227
EIF2S3,4.0,8.2549,782,51
EIF3D,5.5,5.9038,514,160
EIF3M,6.0,4.3502,354,217
EIF4A1,5.0,3.6371,364,34
EIF4B,5.375,3.3212,246,36
EIF4E,6.0,3.8008,278,347
EIF4G1,5.875,3.3002,215,327
EIF6,2.0,3.5669,258,117
ELAC2,8.0,2.1017,59,82
ELL,3.75,2.2211,103,80
ELOVL1,6.0,1.3579,10,171
ELP5,5.0,1.7897,65,167
ELP6,1.0,1.9766,68,69
EMC1,8.0,1.9387,60,81
ENO1,3.625,3.3208,134,67
EP400,3.0,6.6308,567,78
EPRS,4.0,3.6276,268,75
ERAL1,8.0,1.7755,35,107
ERCC2,4.0,2.8368,172,116
EXOC1,7.0,1.3307,12,175
EXOC2,8.0,1.892,49,85
EXOC7,6.0,4.4181,466,32
EXOSC1,5.25,2.0591,67,69
EXOSC10,7.0,2.5757,131,77
EXOSC2,6.0,6.0679,442,209
EXOSC3,6.0,6.3506,519,44
EXOSC4,6.0,5.8239,438,89
EXOSC5,6.0,5.9791,548,38
EXOSC7,6.0,3.5008,198,84
EXOSC8,6.0,5.2975,372,118
FAF2,6.125,1.4715,18,158
FAM136A,4.625,6.3559,684,45
FAM207A,5.625,1.788,32,91
FAM32A,4.75,3.2801,266,332
FAM50A,1.0,5.4565,653,38
FARSA,4.0,4.2552,353,128
FARSB,4.125,4.5831,380,91
FASTKD5,6.0,2.7971,33,182
FBL,2.0,5.2902,473,128
FCF1,3.0,4.1081,312,225
FDXR,4.5,1.5355,24,133
FEN1,5.5,1.6509,24,130
FGFR1OP,7.0,1.7321,47,115
FNBP4,4.5,1.8704,59,141
FNTA,1.0,2.9818,198,69
FXN,7.0,1.4763,18,169
GAR1,5.0,2.1016,76,121
GEMIN4,1.0,2.5697,111,81
GEMIN5,4.0,2.946,165,128
GEMIN7,4.25,1.5364,25,127
GEMIN8,8.0,1.7825,27,85
GFER,5.5,2.1732,92,198
GFM1,3.75,2.048,84,230
GINS1,5.0,4.7688,413,181
GINS2,5.125,3.7341,312,130
GINS3,2.0,2.8179,190,98
GINS4,2.375,3.9297,382,58
GLE1,6.0,3.5108,317,54
GLRX3,6.0,1.9114,33,110
GLRX5,1.0,1.8026,47,95
GMPPB,6.0,1.8026,23,162
GMPS,7.0,2.2107,107,110
GNB1L,5.375,2.0175,73,72
GNL2,2.0,3.8914,299,324
GNL3,2.0,4.3507,439,32
GNL3L,7.0,3.0769,236,66
GNPNAT1,1.0,1.7673,28,105
GOLT1B,7.0,1.7247,53,269
GPKOW,2.0,3.0407,233,105
GPN1,2.0,4.9968,494,76
GPN2,4.0,4.4497,441,42
GPS1,6.0,2.0315,95,372
GRPEL1,2.0,4.2404,340,96
GRWD1,7.0,1.5576,8,163
GSPT1,5.0,5.9152,526,99
GTF2A1,6.0,3.9564,300,105
GTF2A2,6.0,3.1125,145,161
GTF2B,2.0,4.2217,424,34
GTF2E1,4.0,2.3336,124,176
GTF2E2,3.75,3.0626,238,69
GTF2F1,7.0,2.967,257,37
GTF2F2,2.0,4.1211,391,52
GTF2H1,2.0,3.5737,262,409
GTF2H2,4.5,1.5901,25,142
GTF2H2C,4.0,1.7908,49,124
GTF2H3,2.0,2.4618,143,72
GTF3A,7.0,2.3826,65,86
GTF3C1,8.0,1.5889,32,153
GTF3C2,3.0,1.953,58,110
GTF3C3,6.5,2.086,90,129
GTF3C5,6.0,1.4287,14,150
GTF3C6,5.0,1.1549,3,227
GUK1,7.0,1.8939,19,107
H2AFX,6.5,1.5746,17,117
H2AFZ,8.0,2.9236,71,102
HARS,4.0,5.6764,435,263
HAUS1,7.0,2.9157,201,49
HAUS4,3.875,2.5839,153,183
HAUS6,7.0,3.8169,391,30
HAUS8,4.0,1.9197,66,114
HDAC3,7.625,2.7281,171,51
HECTD1,3.25,1.5637,17,121
HGS,3.125,4.0576,344,96
HINFP,6.0,3.5766,268,157
HIST1H2BC,4.0,2.163,89,62
HIST1H2BN,5.0,1.6146,27,102
HJURP,8.0,1.5376,16,109
HMGA1,7.0,1.6267,29,107
HMGCS1,5.75,2.5538,128,216
HNRNPC,1.0,4.7733,421,273
HSCB,7.0,2.3539,125,85
HSD17B12,5.875,3.0919,220,135
HSPA9,3.0,8.5593,668,385
HYOU1,2.0,2.9494,236,36
IARS,4.0,4.2443,392,56
IFITM2,8.0,1.3303,4,146
ILF2,7.875,2.9572,235,56
IMP4,3.125,4.7239,409,148
ING3,8.0,2.5669,167,54
INO80,1.0,2.5015,150,143
INO80B,1.0,2.3077,110,115
INTS1,7.0,1.6471,41,183
INTS2,3.5,8.1405,779,351
INTS4,2.0,5.3649,571,47
INTS5,5.5,6.2316,625,62
INTS8,6.0,6.5001,603,307
INTS9,3.125,4.8687,461,222
IPO11,6.0,2.4159,118,65
IPO13,3.5,3.991,335,51
IPO7,7.875,2.3153,108,71
ISCA2,6.0,1.3419,14,222
ISG20L2,3.25,3.7175,297,72
JMJD6,2.0,1.4291,16,178
KANSL3,8.0,2.8302,176,182
KARS,2.0,3.7916,361,45
KCTD10,8.0,3.545,325,75
KIAA1143,7.0,1.3599,11,179
KIF14,7.0,1.6681,20,106
KIF18B,2.0,2.0042,71,121
KIF20A,5.75,3.1156,207,95
KIF4A,8.0,1.5097,20,126
KLC2,7.0,1.4911,13,125
KPNA6,8.0,2.3459,119,75
KRI1,7.125,3.8675,352,51
KRR1,3.125,4.0181,285,398
KTI12,7.0,2.2981,121,49
LAMTOR2,1.0,3.1198,245,64
LAMTOR3,4.875,3.1985,243,39
LARS,4.0,4.145,337,91
LARS2,7.625,1.4151,15,147
LENG8,7.75,1.9984,71,108
LETM1,5.0,2.7085,147,110
LONP1,7.25,3.0419,137,109
LRR1,4.625,1.7654,44,107
LSG1,2.0,3.6574,258,106
LSM2,3.0,5.2349,473,299
LSM3,2.25,3.7483,343,67
LSM7,4.0,3.5668,282,130
LST1,7.25,1.4531,18,147
LTV1,6.0,4.607,389,259
MAD2L2,5.25,1.3302,8,180
MAK16,2.0,3.7761,277,183
MANF,2.0,1.5127,16,138
MARS,4.125,3.8548,332,81
MARS2,2.125,2.0431,67,74
MAT2A,8.0,4.039,398,45
MAU2,4.875,2.9973,206,61
MAX,6.0,5.1433,397,161
MBTPS2,7.25,1.829,34,214
MCM2,4.0,2.7375,186,114
MCM3AP,1.625,2.882,194,100
MCM4,5.875,2.9769,207,80
MCM5,5.375,2.3713,129,73
MCM6,5.0,2.3847,108,84
MCM7,5.375,1.8876,43,139
MCMBP,1.0,2.2726,99,141
MED10,4.875,4.4087,368,454
MED11,3.0,4.5575,404,227
