perturbation,depth_mean,effect_size,n_de,n_cells
SDAD1,2.0,3.7948,274,210
SDE2,5.75,2.1949,95,134
SDHA,1.0,2.4113,119,53
SDHAF2,7.0,1.6264,22,111
SDHC,2.875,2.3218,119,91
SEH1L,6.0,3.5699,318,59
SEM1,4.125,4.2392,393,84
SENP6,7.0,1.8315,48,81
SEPHS2,6.0,1.5722,10,138
SEPSECS,7.0,1.8669,49,81
SERBP1,5.0,2.3375,128,87
SETD2,2.5,2.2388,88,78
SF3B5,2.0,5.8253,634,69
SFSWAP,7.25,2.8054,179,145
SHQ1,3.625,1.7139,30,90
SKA3,2.0,2.1921,89,109
SKP1,7.0,3.5407,301,64
SKP2,1.0,1.5577,38,192
SLC1A5,6.25,1.0131,2,332
SLC25A3,7.0,1.6975,25,102
SLC39A7,5.0,1.9951,46,121
SLC39A9,8.0,1.4554,29,724
SLC7A6OS,3.75,4.0844,431,36
SLU7,5.0,7.493,791,195
SMC1A,5.625,5.8521,574,166
SMC2,7.0,3.0807,216,108
SMC5,7.0,1.6136,20,115
SMC6,7.0,1.8079,51,113
SNAPC1,3.875,4.0499,337,96
SNRNP27,7.0,3.6639,340,42
SNRNP35,7.0,2.7127,186,159
SNRNP48,7.0,3.2893,234,179
SNRPC,4.25,5.9834,603,30
SNRPD1,4.0,7.7547,762,112
SNRPG,3.5,4.5848,413,327
SNUPN,8.0,1.4882,10,134
SOD1,1.0,1.3996,16,165
SOD2,1.0,1.3645,6,178
SP2,8.0,2.0328,54,115
SPATA5L1,7.0,1.7152,55,148
SPC24,2.25,4.9488,460,95
SPC25,1.0,5.4481,516,181
SPCS2,5.0,1.9151,48,114
SPCS3,5.5,2.2791,67,115
SPRTN,1.0,1.5795,25,128
SPTSSA,7.0,1.6562,26,113
SRBD1,5.125,2.5176,156,143
SRF,8.0,1.5924,19,120
SRFBP1,5.25,3.4385,251,73
SRP14,7.125,2.1078,44,120
SRP19,6.0,1.9902,81,101
SRP54,4.75,3.0871,219,75
SRP68,6.0,3.3494,264,158
SRP72,4.75,1.6686,49,211
SRP9,6.625,2.0066,46,155
SRRM1,3.25,2.5046,145,151
SRRM2,7.5,2.2471,90,148
SRRT,6.0,5.2305,441,260
SRSF1,2.875,4.5504,460,144
SRSF7,6.0,3.9399,288,101
SS18L2,6.875,2.0519,71,130
SSBP1,6.0,4.2054,128,116
SSU72,1.0,3.3686,272,68
STRIP1,7.0,1.758,39,105
SUPT16H,6.0,6.3832,670,89
SUPT5H,1.0,7.8049,706,367
SUPT6H,1.0,9.3424,807,256
SYF2,1.0,3.4612,246,78
SYMPK,6.0,4.9695,464,80
SYS1,1.0,2.3661,132,58
TADA3,5.375,2.2646,99,139
TAF10,6.0,6.5476,606,38
TAF12,5.0,6.2518,571,65
TAF1B,7.0,2.1188,90,92
TAF2,6.0,4.9069,366,137
TAF7,3.625,4.6818,395,84
TAF8,6.0,4.5782,335,103
TAMM41,6.0,1.5889,21,118
TARDBP,6.125,2.058,43,142
TARS2,1.625,2.4269,120,71
TBCA,7.0,1.2519,5,176
TBCB,2.0,2.751,174,97
TBL3,3.0,3.6768,271,70
TCERG1,7.0,2.7864,184,93
TCOF1,5.0,2.5617,139,86
TELO2,6.0,3.7579,347,73
TEX10,2.0,3.2021,206,153
TFAM,6.0,2.9614,78,78
TFDP1,8.0,2.1671,100,140
TGS1,7.75,1.4733,18,147
THAP1,2.25,2.9918,186,107
THAP11,1.0,2.5278,130,60
THG1L,1.0,4.4176,417,43
THOC2,6.0,5.331,477,172
THOC3,1.0,2.944,185,133
TIMM10,5.5,2.4069,125,47
TIMM13,7.0,2.5981,142,163
TIMM22,7.0,2.075,55,72
TIMM44,2.0,5.2613,546,38
TIMM8A,6.0,1.4892,13,141
TINF2,5.0,2.1798,101,74
TLN1,8.0,2.0474,56,72
TM7SF2,7.75,1.7067,31,97
TMEM127,4.0,1.4304,13,131
TMEM199,7.0,1.758,40,90
TMEM258,5.0,1.6617,31,172
TMX2,2.125,3.8162,336,94
TNPO3,6.0,2.9677,196,89
TOP3A,6.25,1.3858,5,154
TOPBP1,3.75,3.2581,310,40
TP53RK,5.0,2.0823,76,83
TPR,1.0,4.0874,382,71
TPRKB,5.625,3.3151,291,34
TPX2,6.0,2.577,125,289
TRA2B,4.0,2.9293,147,198
TRAPPC11,6.375,2.0035,86,106
TRAPPC3,6.25,1.4401,18,153
TRAPPC4,7.0,1.26,5,181
TRAPPC5,7.0,1.7878,48,122
TRAPPC8,7.0,1.6521,38,145
TRIAP1,3.625,2.3955,138,56
TRMT6,7.25,1.6089,27,110
TRNT1,5.375,1.4737,23,183
TRPM7,1.0,2.608,150,123
TSEN2,4.0,2.6504,80,168
TSEN54,6.5,2.4076,120,51
TSFM,1.0,1.945,63,91
TSG101,6.875,5.4413,467,83
TSPYL5,1.0,1.884,56,89
TSR2,1.625,5.1966,459,486
TTC1,2.0,2.2046,98,66
TTC27,4.625,2.9432,218,87
TTC4,6.0,1.9891,65,101
TTI1,6.0,3.4743,283,146
TTK,5.375,4.2786,364,185
TUBA1B,1.75,3.7548,204,61
TUBE1,6.625,1.4191,10,130
TUBGCP3,5.25,3.1009,257,30
TUBGCP5,8.0,2.0328,77,70
TWISTNB,2.75,5.9423,554,145
TXN,5.75,3.6354,259,79
TXNL4B,7.125,1.5217,20,129
U2SURP,5.0,4.1069,318,275
UBA2,7.0,2.6808,121,151
UBA3,4.0,2.7442,142,94
UBE2D3,7.0,1.6736,38,127
UBE2H,7.0,1.2843,6,179
UBE2L3,7.0,2.4616,22,189
UBE2Z,1.25,2.1667,92,60
UBL5,3.0,4.4308,424,209
UBR5,8.0,3.0996,271,35
UFL1,6.0,1.824,56,155
UFM1,5.0,2.044,68,119
UNC50,6.75,1.9467,67,79
UPF2,4.0,3.5984,195,133
UPF3A,5.75,2.2829,125,55
UQCC2,2.25,2.5122,124,83
UQCRC2,1.75,2.5829,163,67
UQCRFS1,1.0,2.4831,121,115
UQCRH,7.0,3.2541,97,57
UQCRQ,6.0,2.1447,94,150
URB1,8.0,2.9269,233,32
URB2,7.0,2.1159,98,189
URI1,2.0,2.3573,120,74
URM1,6.0,1.9435,62,104
UROD,1.0,1.4653,8,194
USP10,2.0,2.0272,77,64
USP37,5.25,2.2463,107,73
USPL1,1.0,2.4655,101,96
UTP18,4.875,3.6147,282,59
UTP20,4.75,4.1477,337,92
UTP6,3.0,4.3359,359,64
UXS1,4.125,2.1075,20,119
UXT,5.25,2.9082,168,206
VARS,4.0,5.5143,445,191
VARS2,1.0,1.8322,58,123
VBP1,4.75,1.7204,40,97
VHL,8.0,1.431,10,142
VPS13D,1.125,1.608,19,138
VPS25,5.75,2.0846,84,73
VPS28,7.0,6.9544,612,49
VPS33A,8.0,1.4739,22,173
VPS37A,1.0,1.9391,60,74
VPS41,6.0,1.1066,5,302
VPS51,6.0,1.7985,45,91
VPS72,8.0,2.995,251,95
WARS,1.0,2.0756,69,64
WDHD1,6.5,1.6558,34,175
WDR12,2.0,3.5928,260,174
WDR3,5.0,3.7463,240,329
WDR36,4.75,3.708,253,250
WDR4,6.625,1.0383,4,323
WDR54,8.0,1.1578,3,206
WDR55,7.5,2.127,84,94
WDR61,6.875,3.2593,257,98
WDR75,8.0,4.7187,464,132
WDR77,8.0,3.1559,260,37
WDR82,1.0,5.5304,538,86
WDR83OS,4.0,2.0365,75,78
WNK1,4.0,1.8866,55,119
XRCC2,5.5,1.4562,11,146
XRCC3,7.0,2.9087,213,53
YARS2,3.5,1.6447,36,172
YEATS2,7.75,2.0194,49,233
YEATS4,7.75,2.5227,124,221
YKT6,6.0,2.7717,202,57
YPEL5,7.0,2.2404,105,76
ZCCHC9,8.0,4.1841,371,49
ZFC3H1,6.0,5.1352,205,105
ZMAT2,4.5,3.0573,221,348
ZMAT5,7.0,2.6687,164,98
ZNF100,7.0,1.8521,55,95
ZNF24,1.125,2.3213,120,49
ZNHIT2,6.0,1.9691,66,90
ZNHIT3,5.75,1.9341,44,66
ZNHIT6,6.25,2.7679,152,116
ZRANB2,5.375,2.9967,248,38
ZW10,7.0,1.4214,23,190
